WaitingTimes
0.0
0.0
22.4
15.1
0.0
46.5
35.1
18.9
0.0
0.0
0.0
84.2
83.4
72.7
70.1
58.8
50.6
40.5
25.5
6.9
0.0
1.4
3.3
4.5
90.0
0.0
64.3
58.2
56.1
38.2
16.0
16.6
16.1
17.1
11.4
8.8
54.2
24.0
36.7
0.0
90.0
90.9
84.2
80.3
77.6
58.2
43.2
23.0
6.0
6.1
4.8
81.7
7.7
0.0
0.0
0.0
90.0
94.2
89.5
90.3
83.5
82.9
78.4
75.7
34.7
28.7
16.5
39.8
15.9
13.3
0.0
90.0
84.7
67.7
75.1
7.8
95.0
91.2
90.1
84.3
77.8
75.7
69.0
62.4
48.4
40.4
40.6
90.0
29.9
20.1
94.4
88.7
79.4
42.7
43.5
36.0
28.5
22.4
23.6
17.4
90.0
95.0
89.7
36.3
34.3
33.6
33.8
4.7
0.0
0.0
85.5
70.0
61.4
36.3
125.2
31.2
117.4
20.4
113.5
114.6
0.0
103.0
98.4
92.7
77.0
68.3
0.0
66.2
50.3
25.7
78.6
74.5
70.5
61.6
54.7
48.6
25.6
20.1
19.9
0.0
0.0
0.0
84.0
50.6
79.2
72.1
72.5
73.2
51.8
49.7
45.7
41.0
30.7
25.0
21.7
2.7
23.2
0.0
86.9
81.3
80.3
76.1
74.0
63.6
54.1
52.7
25.8
24.7
20.3
19.7
7.1
85.1
2.0
77.2
77.1
75.7
69.0
62.5
58.4
44.0
38.8
32.2
27.9
0.0
24.5
92.8
55.0
16.7
97.5
87.6
85.1
75.8
53.5
50.5
45.3
38.5
28.1
2.7
84.6
25.3
6.7
63.2
56.8
16.2
94.6
45.1
35.8
94.1
89.0
37.7
29.3
18.3
0.0
97.3
21.6
87.6
84.1
77.4
60.1
19.3
3.8
1.9
0.0
0.6
0.0
84.9
20.8
73.8
9.8
59.5
58.4
56.6
32.3
27.5
6.1
0.0
80.4
28.3
90.0
71.0
0.0
85.9
79.9
70.0
68.6
53.5
53.0
51.7
51.5
44.0
38.2
88.4
36.7
81.0
23.2
72.4
69.2
67.9
66.9
65.6
64.2
69.2
69.9
42.9
27.4
88.7
6.6
83.5
66.8
17.7
16.3
17.3
17.3
11.0
85.9
0.0
0.0
122.2
54.4
123.7
119.8
114.4
99.9
100.3
84.6
83.0
82.1
64.2
62.2
35.8
114.6
71.9
94.3
93.3
76.2
72.2
70.9
57.3
58.2
46.1
49.1
46.6
47.1
90.0
79.1
73.1
70.0
46.7
0.0
39.1
20.9
14.1
12.2
12.9
3.7
0.0
0.0
63.6
62.1
0.0
122.9
116.8
113.8
109.6
108.7
100.3
99.5
98.5
97.6
94.8
82.2
77.6
74.8
68.2
136.7
61.1
31.7
